Time,Temp,Pressure,Height (ft),Euler X,Euler Y,Euler Z,Ang  x,Ang  y,Ang z,Linear accel x,Linear accel y,Linear accel z
657504,35.54,984.62,13.28,0.25,-3.69,-1.31,0.03,-0.15,-0.57,-1.88,-0.84,29.64
657566,35.54,984.59,14.09,2.12,-3.62,-1.38,0.08,-0.07,-0.55,-0.22,2.31,29.64
657592,35.54,984.59,15.1,2.75,-3.56,-1.44,0.08,-0.07,-0.55,-1.58,1.38,29.64
657616,35.54,984.56,15.1,3.62,-3.56,-1.56,0.11,-0.02,-0.5,-2.28,1.23,29.64
657643,35.55,984.52,16.14,4.12,-3.5,-1.62,0.13,-0.07,-0.43,-1.44,1.83,29.64
657667,35.55,984.52,16.14,4.69,-3.44,-1.88,0.15,-0.03,-0.32,-1.84,1.67,29.64
657689,35.56,984.48,17.34,5.06,-3.44,-2,0.18,-0.06,-0.31,-1.59,1.76,29.64
657713,35.56,984.48,18.84,5.38,-3.38,-2.19,0.2,-0.04,-0.26,-1.95,1.77,29.64
657739,35.57,984.42,18.84,5.75,-3.31,-2.56,0.23,-0.06,-0.18,-1.5,1.7,29.64
657764,35.58,984.37,20.44,5.88,-3.25,-2.81,0.26,-0.06,-0.11,-1.32,1.85,29.65
657790,35.58,984.37,22.08,5.94,-3.12,-3.31,0.3,-0.07,0.03,-1.43,1.69,29.65
657815,35.59,984.31,22.08,5.81,-3,-3.69,0.33,-0.09,0.2,-1.84,1.69,29.65
657837,35.61,984.24,23.88,5.38,-2.88,-4.25,0.36,-0.1,0.34,-1.87,1.62,29.66
657861,35.61,984.24,25.76,4.88,-2.69,-4.69,0.38,-0.1,0.49,-1.57,1.62,29.66
657883,35.62,984.18,25.76,4.25,-2.5,-5.19,0.43,-0.13,0.76,-1.73,1.35,29.67
657907,35.62,984.18,27.76,2.94,-2.19,-6,0.46,-0.14,0.82,-1.67,0.91,29.68
657934,35.64,984.1,27.76,2,-1.88,-6.56,0.48,-0.16,0.87,-1.61,0.75,29.69
657956,35.65,984.03,29.88,0.5,-1.44,-7.44,0.51,-0.18,0.94,-1.92,0.21,29.7
657982,35.65,984.03,32.08,359.5,-1.06,-8,0.52,-0.2,0.94,-1.91,-0.32,29.71
658007,35.66,983.95,32.08,357.88,-0.44,-8.94,0.53,-0.23,0.98,-1.96,-1.03,29.74
658029,35.67,983.86,34.45,356.88,0,-9.5,0.52,-0.25,0.94,-2.36,-1.13,29.75
658056,35.67,983.86,37.04,355.88,0.38,-10.06,0.52,-0.27,0.91,-2.69,-1.47,29.78
658082,35.69,983.77,37.04,354.44,1.12,-10.94,0.51,-0.29,0.9,-2.64,-2.12,29.8
658104,35.7,983.67,39.83,353.44,1.62,-11.5,0.51,-0.31,0.89,-2.78,-2.52,29.83
